id,path,label
9bb25bc386d6495b9f9ae35f08e7085d,train/EASTERN PINE ELFIN/9bb25bc386d6495b9f9ae35f08e7085d.jpg,EASTERN PINE ELFIN
ecddd57d14c64015b906acde50307a24,train/LARGE MARBLE/ecddd57d14c64015b906acde50307a24.jpg,LARGE MARBLE
50bdd6a608f04f04bb1d88721442386e,train/PAPER KITE/50bdd6a608f04f04bb1d88721442386e.jpg,PAPER KITE
4e84f59a9a7e42eda7ba4cd6c65efe38,train/RED POSTMAN/4e84f59a9a7e42eda7ba4cd6c65efe38.jpg,RED POSTMAN
1fa1f3e8c2c14fe08175bcac63f16b6b,train/GREEN HAIRSTREAK/1fa1f3e8c2c14fe08175bcac63f16b6b.jpg,GREEN HAIRSTREAK
a31def7d76f44016a2b947fef5ec1f83,train/WHITE LINED SPHINX MOTH/a31def7d76f44016a2b947fef5ec1f83.jpg,WHITE LINED SPHINX MOTH
09f7ec4778254cc3876ca440ee207a0c,train/PEACOCK/09f7ec4778254cc3876ca440ee207a0c.jpg,PEACOCK
20eb39e7e3664b7b985b821192a7022a,train/SLEEPY ORANGE/20eb39e7e3664b7b985b821192a7022a.jpg,SLEEPY ORANGE
a605c371235d4f09970f765aab198558,train/GREEN CELLED CATTLEHEART/a605c371235d4f09970f765aab198558.jpg,GREEN CELLED CATTLEHEART
d3813cfd4cef42189d4e31b2f7d2ac81,train/PAINTED LADY/d3813cfd4cef42189d4e31b2f7d2ac81.jpg,PAINTED LADY
ea5b68e266934b669c8f6c07edcda933,train/ATLAS MOTH/ea5b68e266934b669c8f6c07edcda933.jpg,ATLAS MOTH
1163bfec3796475fa8b226d537cec399,train/BROWN ARGUS/1163bfec3796475fa8b226d537cec399.jpg,BROWN ARGUS
3ad133a1175840b682c9c07885b9b1c2,train/PIPEVINE SWALLOW/3ad133a1175840b682c9c07885b9b1c2.jpg,PIPEVINE SWALLOW
57899e676547443cbf13a2259a5b57d8,train/CAIRNS BIRDWING/57899e676547443cbf13a2259a5b57d8.jpg,CAIRNS BIRDWING
832a6078b7c34dffb54f9256406a6f45,train/YELLOW SWALLOW TAIL/832a6078b7c34dffb54f9256406a6f45.jpg,YELLOW SWALLOW TAIL
04319a96a756482e9bdeefa56979d31e,train/METALMARK/04319a96a756482e9bdeefa56979d31e.jpg,METALMARK
22c0b0a148af46adbf3a7d775edab3ff,train/OLEANDER HAWK MOTH/22c0b0a148af46adbf3a7d775edab3ff.jpg,OLEANDER HAWK MOTH
02980d7af07242a5bda705349c556a69,train/ORANGE OAKLEAF/02980d7af07242a5bda705349c556a69.jpg,ORANGE OAKLEAF
4791ad0bba6b4b7dac02509e778df08d,train/MADAGASCAN SUNSET MOTH/4791ad0bba6b4b7dac02509e778df08d.jpg,MADAGASCAN SUNSET MOTH
76a1ce572181427d878cb3d924de7063,train/PURPLE HAIRSTREAK/76a1ce572181427d878cb3d924de7063.jpg,PURPLE HAIRSTREAK
af48be9ac2e948b1a95169044889bd70,train/SLEEPY ORANGE/af48be9ac2e948b1a95169044889bd70.jpg,SLEEPY ORANGE
251b094ecf8c47b0a75dbb6ad472128b,train/CABBAGE WHITE/251b094ecf8c47b0a75dbb6ad472128b.jpg,CABBAGE WHITE
2f1e0368b5ff4392b9cb3427bb30944b,train/ADONIS/2f1e0368b5ff4392b9cb3427bb30944b.jpg,ADONIS
8617e53651974c00accd29bed2612bee,train/COMMON WOOD-NYMPH/8617e53651974c00accd29bed2612bee.jpg,COMMON WOOD-NYMPH
f564e80283dc43a2b62d921fb786ce78,train/COMET MOTH/f564e80283dc43a2b62d921fb786ce78.jpg,COMET MOTH
0f7176f024234de4ac69ad3fb0c0f7c6,train/CHALK HILL BLUE/0f7176f024234de4ac69ad3fb0c0f7c6.jpg,CHALK HILL BLUE
843789bacb39435ea07b52d9edd1a7ad,train/CLEARWING MOTH/843789bacb39435ea07b52d9edd1a7ad.jpg,CLEARWING MOTH
115146ff25b244cd81ecc04bb19ef46a,train/METALMARK/115146ff25b244cd81ecc04bb19ef46a.jpg,METALMARK
a12855c739304f2e809cd2717cce377f,train/SCARCE SWALLOW/a12855c739304f2e809cd2717cce377f.jpg,SCARCE SWALLOW
40c9d025ba0d46d2a89dd5698564aa20,train/CAIRNS BIRDWING/40c9d025ba0d46d2a89dd5698564aa20.jpg,CAIRNS BIRDWING
ca4bd1a0c3f246eb8c9ea6f3cdea8e16,train/ULYSES/ca4bd1a0c3f246eb8c9ea6f3cdea8e16.jpg,ULYSES
2a6b9c0f8a684a71a6ab438c32b293e1,train/MALACHITE/2a6b9c0f8a684a71a6ab438c32b293e1.jpg,MALACHITE
76a2d5a71fda4573bc68c4bbb8069226,train/RED ADMIRAL/76a2d5a71fda4573bc68c4bbb8069226.jpg,RED ADMIRAL
1ef7e5814ddb4269bce5cb0255aa9af5,train/PAPER KITE/1ef7e5814ddb4269bce5cb0255aa9af5.jpg,PAPER KITE
9c7b93e0882f4bcc9fa4e59d950a40d8,train/MOURNING CLOAK/9c7b93e0882f4bcc9fa4e59d950a40d8.jpg,MOURNING CLOAK
f54aeb5f5efe4a3aa0abcbf3dd7aa09e,train/ATALA/f54aeb5f5efe4a3aa0abcbf3dd7aa09e.jpg,ATALA
9bede97a87264ffcb7b00c39ca8fdb6f,train/EMPEROR GUM MOTH/9bede97a87264ffcb7b00c39ca8fdb6f.jpg,EMPEROR GUM MOTH
21bf450fc640443e80588fb62beed80b,train/BECKERS WHITE/21bf450fc640443e80588fb62beed80b.jpg,BECKERS WHITE
dfe92999a5a2453593a0a6e0b2539a29,train/DANAID EGGFLY/dfe92999a5a2453593a0a6e0b2539a29.jpg,DANAID EGGFLY
0d1404eb68b643d99f34ee428789b9e8,train/WHITE LINED SPHINX MOTH/0d1404eb68b643d99f34ee428789b9e8.jpg,WHITE LINED SPHINX MOTH
c561dfaadaf14bf595d60fae9cd09fcc,train/APPOLLO/c561dfaadaf14bf595d60fae9cd09fcc.jpg,APPOLLO
d818ceee671a4c979bb7726cc4d87d07,train/BANDED TIGER MOTH/d818ceee671a4c979bb7726cc4d87d07.jpg,BANDED TIGER MOTH
0f7426b265e54c06869e982f0d991150,train/APPOLLO/0f7426b265e54c06869e982f0d991150.jpg,APPOLLO
d266e5d198ee4e589a9dd626163cb3a9,train/ZEBRA LONG WING/d266e5d198ee4e589a9dd626163cb3a9.jpg,ZEBRA LONG WING
d56d5e90df0c43b08506aebdd4893e0e,train/BROOKES BIRDWING/d56d5e90df0c43b08506aebdd4893e0e.jpg,BROOKES BIRDWING
ceceb2d5a68e44f8824b1a77982f8785,train/GOLD BANDED/ceceb2d5a68e44f8824b1a77982f8785.jpg,GOLD BANDED
17774f58dab94471b9dc1cb71971c8a9,train/SLEEPY ORANGE/17774f58dab94471b9dc1cb71971c8a9.jpg,SLEEPY ORANGE
51709574bf594563a72bac841caf78d3,train/BROWN ARGUS/51709574bf594563a72bac841caf78d3.jpg,BROWN ARGUS
0db9126f35b6490c8928c765429ab604,train/COMET MOTH/0db9126f35b6490c8928c765429ab604.jpg,COMET MOTH
8e290e11504b4b2da5805c67d300e6f8,train/BLUE SPOTTED CROW/8e290e11504b4b2da5805c67d300e6f8.jpg,BLUE SPOTTED CROW
86279bcff8664d55b02af2a2ccea3f6f,train/COMMON BANDED AWL/86279bcff8664d55b02af2a2ccea3f6f.jpg,COMMON BANDED AWL
011675b4c0f9446c811fc37843747b78,train/MOURNING CLOAK/011675b4c0f9446c811fc37843747b78.jpg,MOURNING CLOAK
1c47e1555a224911a3958155b0533adf,train/BANDED ORANGE HELICONIAN/1c47e1555a224911a3958155b0533adf.jpg,BANDED ORANGE HELICONIAN
2b2cfcd79f2c4ef6a2116b656913fecd,train/YELLOW SWALLOW TAIL/2b2cfcd79f2c4ef6a2116b656913fecd.jpg,YELLOW SWALLOW TAIL
b321a2a344bb42cd93c81bd134bd4489,train/PURPLISH COPPER/b321a2a344bb42cd93c81bd134bd4489.jpg,PURPLISH COPPER
ec7b31f75a70459ba306e394b66cc91a,train/ROSY MAPLE MOTH/ec7b31f75a70459ba306e394b66cc91a.jpg,ROSY MAPLE MOTH
1900f5b5579341d4aeb81269d8528853,train/AN 88/1900f5b5579341d4aeb81269d8528853.jpg,AN 88
ba5ca07baaa443199d7fc9e0e70deec1,train/BROWN SIPROETA/ba5ca07baaa443199d7fc9e0e70deec1.jpg,BROWN SIPROETA
9368c5332c35427396c7a22876bbdf37,train/CLEARWING MOTH/9368c5332c35427396c7a22876bbdf37.jpg,CLEARWING MOTH
381b36af3bca41e78063655fde4ec2da,train/ORANGE TIP/381b36af3bca41e78063655fde4ec2da.jpg,ORANGE TIP
6cad5195d11a412cb377ee263f73fcae,train/SOOTYWING/6cad5195d11a412cb377ee263f73fcae.jpg,SOOTYWING
5cb73785203c4d1f86a29fa9aba1d516,train/METALMARK/5cb73785203c4d1f86a29fa9aba1d516.jpg,METALMARK
9fbcd3b77d4246c4904942179204c456,train/ROSY MAPLE MOTH/9fbcd3b77d4246c4904942179204c456.jpg,ROSY MAPLE MOTH
067e148046614d5f8ac1da1f96b35ad1,train/SCARCE SWALLOW/067e148046614d5f8ac1da1f96b35ad1.jpg,SCARCE SWALLOW
d05e7e3b137b490d9279023553fd14c2,train/WHITE LINED SPHINX MOTH/d05e7e3b137b490d9279023553fd14c2.jpg,WHITE LINED SPHINX MOTH
38d4f527097c49ca8fb9869f209eaaf4,train/PINE WHITE/38d4f527097c49ca8fb9869f209eaaf4.jpg,PINE WHITE
ef7979362c5a494ba53db53eebcaef28,train/METALMARK/ef7979362c5a494ba53db53eebcaef28.jpg,METALMARK
7b396d66d3804c5da725fe3ef00ab3c3,train/CRECENT/7b396d66d3804c5da725fe3ef00ab3c3.jpg,CRECENT
29bd98e7128747389a4f41b92efb0833,train/COMET MOTH/29bd98e7128747389a4f41b92efb0833.jpg,COMET MOTH
283637e4841a4056b4151d54cbe3cd10,train/METALMARK/283637e4841a4056b4151d54cbe3cd10.jpg,METALMARK
11faa9829748432a97016270ce37ae8b,train/PEACOCK/11faa9829748432a97016270ce37ae8b.jpg,PEACOCK
eacbeb8795a64e53981b196c580eb647,train/HUMMING BIRD HAWK MOTH/eacbeb8795a64e53981b196c580eb647.jpg,HUMMING BIRD HAWK MOTH
d56bbed2cdd04dca96f645628a4f5bb6,train/QUESTION MARK/d56bbed2cdd04dca96f645628a4f5bb6.jpg,QUESTION MARK
682a60f70afe426a8117ca7b6c255f64,train/ZEBRA LONG WING/682a60f70afe426a8117ca7b6c255f64.jpg,ZEBRA LONG WING
a20d3b77326a46fa9cb25c9427807dc6,train/DANAID EGGFLY/a20d3b77326a46fa9cb25c9427807dc6.jpg,DANAID EGGFLY
